Civilian_Casualties,Estimated_Dollar_Loss,Building_Status,Business_Impact,Fire_Alarm_System_Operation,Method_Of_Fire_Control,Smoke_Alarm_at_Fire_Origin,Sprinkler_System_Presence,TFS_Alarm_Time,TFS_Arrival_Time,Fire_Under_Control_Time,Number_of_responding_apparatus,Number_of_responding_personnel
7,73600,Unoccupied,None,Operational,CO2,Absent,Not applicable,2021-01-07T05:51:57Z,2021-02-01T00:15:01Z,2021-07-30T13:46:45Z,8,49
10,19100,Abandoned,Moderate,Operational,CO2,Absent,Present,2021-04-07T02:19:40Z,2021-10-04T21:09:40Z,2021-11-16T13:30:50Z,1,27
8,5300,Occupied,Severe,Non-operational,Foam,Absent,NA,2021-08-16T18:49:02Z,2021-07-19T14:36:30Z,2021-08-11T07:49:16Z,5,48
4,64800,Occupied,None,Not present,No intervention,Present,Not applicable,2021-01-05T00:05:02Z,2021-06-12T16:20:22Z,2021-11-19T23:23:12Z,9,11
5,59000,Occupied,Moderate,Operational,CO2,Absent,Not applicable,2021-11-05T05:43:06Z,2021-12-20T02:03:36Z,2021-07-30T17:18:49Z,8,41
6,50900,NA,None,Operational,Foam,Absent,NA,2021-01-20T14:24:10Z,2021-12-17T23:27:45Z,2021-04-17T04:16:18Z,7,17
0,79600,Occupied,Moderate,Operational,Foam,Present,Absent,2021-04-23T05:31:45Z,2021-07-14T15:55:44Z,2021-10-16T09:25:41Z,10,47
5,61500,Occupied,Moderate,Operational,Dry chemical,Absent,Not applicable,2021-12-22T14:45:36Z,2021-07-31T06:40:06Z,2021-12-24T18:53:05Z,2,16
9,84500,NA,None,Operational,NA,Present,Not applicable,2021-03-10T12:52:07Z,2021-01-10T03:15:40Z,2021-11-28T02:30:26Z,7,4
6,31400,Occupied,None,Operational,CO2,Present,Not applicable,2021-05-06T03:50:11Z,2021-04-23T19:35:13Z,2021-04-25T23:43:55Z,2,24
10,37400,Occupied,None,Operational,CO2,Present,Absent,2021-02-16T17:38:02Z,2021-07-03T15:27:28Z,2021-09-04T12:18:25Z,8,34
10,54900,Occupied,Moderate,Not present,Water,Unknown,Absent,2021-10-21T10:11:45Z,2021-02-02T04:25:49Z,2021-08-12T21:45:56Z,2,49
8,44400,Occupied,Minor,NA,Foam,Absent,Not applicable,2021-08-25T08:23:04Z,2021-08-11T23:55:45Z,2021-05-31T16:26:26Z,9,28
8,8700,Occupied,None,Operational,CO2,NA,Present,2021-08-31T00:15:49Z,2021-02-03T09:22:37Z,2021-09-01T14:09:26Z,1,6
6,54200,Abandoned,Minor,Not present,No intervention,Present,Present,2021-04-05T06:10:58Z,2021-02-06T14:22:17Z,2021-03-29T23:53:35Z,8,49
4,62400,Occupied,Minor,Operational,CO2,Absent,Present,2021-07-28T03:52:36Z,2021-11-12T08:11:24Z,2021-07-15T03:03:20Z,4,4
7,36400,Occupied,Moderate,Not present,Foam,NA,Present,2021-11-03T11:17:30Z,2021-03-06T22:08:46Z,2021-11-08T01:42:38Z,6,28
3,69800,Occupied,Minor,Operational,Foam,Absent,Absent,2021-01-12T20:18:26Z,2021-01-13T06:52:11Z,2021-01-12T13:17:56Z,4,25
1,98200,NA,NA,Not present,Foam,Absent,Present,2021-10-27T11:21:13Z,2021-08-31T12:59:56Z,2021-11-02T12:00:44Z,9,6
10,12100,Occupied,None,Operational,NA,Unknown,Present,2021-12-28T18:47:36Z,2021-06-10T03:38:42Z,2021-06-30T12:11:02Z,3,26
8,32500,Occupied,Minor,NA,No intervention,Present,Absent,2021-07-10T16:32:29Z,2021-11-05T01:37:32Z,2021-07-15T01:00:51Z,5,6
9,31200,NA,Moderate,Operational,NA,Present,Present,2021-09-09T14:32:41Z,2021-05-27T07:00:44Z,2021-04-10T02:19:52Z,1,15
1,64900,Occupied,None,Operational,Dry chemical,Absent,Absent,2021-03-21T14:16:31Z,2021-04-21T21:19:08Z,2021-01-05T13:36:58Z,8,47
2,17500,Occupied,Severe,Not present,CO2,Present,Absent,2021-09-25T17:57:42Z,2021-08-18T03:06:14Z,2021-11-21T11:42:30Z,9,29
3,77800,Occupied,Minor,NA,NA,Unknown,NA,2021-12-16T20:24:24Z,2021-03-20T18:31:33Z,2021-08-25T14:16:48Z,7,24
